Name,Score
Saenai Heroine no Sodatekata ♭,0.24984783136780486
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,0.2497673992998095
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",0.24952102430477976
Gakkougurashi!,0.24837878212854228
Ano Natsu de Matteru,0.24732652288679252
Baka to Test to Shoukanjuu,0.2471555204298712
Baccano!,0.24699063149932457
Dragon Ball,0.2459878380917
Gakusen Toshi Asterisk 2nd Season,0.24524326374209077
Suzumiya Haruhi no Yuuutsu (2009),0.24496175353570077
Musaigen no Phantom World,0.2447420863861816
Little Witch Academia (TV),0.24369286644718327
Tanaka-kun wa Itsumo Kedaruge,0.24353794398249212
Shingeki no Kyojin OVA,0.24344190452979714
Saiki Kusuo no Ψ-nan 2,0.24284519035106283
Chihayafuru 2,0.2422201118847913
NHK ni Youkoso!,0.24206706371564085
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,0.24195135972764958
Mayo Chiki!,0.24175304378782697
Sword Art Online Alternative: Gun Gale Online,0.24137343851080428
IS: Infinite Stratos,0.24059243069257663
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,0.23974322509236953
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,0.23953889133305853
Danna ga Nani wo Itteiru ka Wakaranai Ken,0.2390161651467223
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",0.23870934943607025
Just Because!,0.23869908452628996
Fruits Basket 1st Season,0.23861948510019862
Sakamichi no Apollon,0.23853857113754626
Shirobako,0.2384972439053135
Citrus,0.23815239924445242
Love Live! School Idol Project 2nd Season,0.23795241690774915
Kami nomi zo Shiru Sekai II,0.2372296134188316
Ookami to Koushinryou II,0.2366435368673364
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",0.23646913762105698
Sword Art Online: Extra Edition,0.2362659738950435
Hajimete no Gal,0.2357595433080406
Nichijou,0.23564103804886527
Inou-Battle wa Nichijou-kei no Naka de,0.23528895361542618
Kami nomi zo Shiru Sekai: Megami-hen,0.2346150659828568
God Eater,0.23390829951094033
Kore wa Zombie Desu ka?,0.23374655949546577
Nakitai Watashi wa Neko wo Kaburu,0.232557475265343
Perfect Blue,0.23196979457782374
Sword Art Online: Alicization - War of Underworld 2nd Season,0.23189691420739578
Aho Girl,0.2316743993623217
Magi: Sinbad no Bouken (TV),0.2314903036064577
